name,domain,engine,developer,reachable,status,has_inventory,requires_js,listing_hits,tera_token,property_pages,api_candidates,sitemap,robots_disallowed,error
ADMINISTRACIÓN CIRIACOS’S,ciriacos.com.uy,custom,,true,200,false,false,0,,,,,false,
ALDA Group,alda.com.uy,custom,,true,200,false,true,0,,,,https://www.alda.com.uy/sitemap.xml,false,
ALEJANDRO PERAZZO INMOBILIARIA,alejandroperazzo.com,custom,,true,404,true,false,9,,https://uruguaysothebysrealty.com/propiedades,,https://uruguaysothebysrealty.com/sitemap.xml,false,
ALTIUS GROUP,altius.com.uy,custom,,true,500,false,false,0,,,,,false,
AMARRAS INMOBILIARIA,amarras.com.uy,custom,,true,200,true,false,6,,https://amarras.com.uy/propiedades https://amarras.com.uy/propiedades/,,https://amarras.com.uy/sitemap.xml,false,
ATLANTIC SOUTH REAL ESTATE,atlanticsouth.com.uy,custom,,true,200,false,false,0,,,,,false,
BABENCO NEGOCIOS INMOBILIARIOS,babencopropiedades.com.uy,custom,,true,200,false,false,0,,,,https://www.babencopropiedades.com.uy/sitemap.xml,true,
BEBA PAEZ VILARÓ INMOBILIARIA,bebapaezvilaro.com,custom,,true,403,false,false,0,,,,,false,
BRAGLIA INMOBILIARIA,braglia.com.uy,custom,,true,200,true,false,40,,https://braglia.com.uy/ https://braglia.com.uy/propiedades/listado,https://braglia.com.uy/assets/adapi_logo_2-a5b687d2c29e066681de7fa4de5f61905dd9399a535dfb599b303be3e01358c7.jpg,https://braglia.com.uy/sitemap.xml,false,
BROKER BIENES RAICES,broker.com.uy,custom,,true,200,false,false,0,,,https://broker.com.uy/~api/analytics,https://broker.com.uy/sitemap.xml,false,
C Y C PROPIEDADES GRACIELA CLAVIJO,cycpropiedades.com,custom,,true,200,false,false,0,,,,,false,
CAMPOS DEL ESTE NEGOCIOS INMOBILIARIOS,camposdeleste.com,custom,,true,200,false,false,0,,,,,false,
CIALCETA PROPIEDADES,campouruguayo.com,custom,,true,200,true,false,4,,https://www.campouruguayo.com/,,,false,
COLDWELL BANKER URUGUAY,coldwellbanker.com.uy,custom,,true,403,false,false,0,,,,,false,
COLMENA NEGOCIOS INMOBILIARIOS,inmobiliariacolmena.com.uy,custom,sierra,true,200,true,false,20,,https://www.inmobiliariacolmena.com.uy/apartamentos/en-venta/ https://www.inmobiliariacolmena.com.uy/casas/en-venta/ https://www.inmobiliariacolmena.com.uy/apartamentos/en-alquiler/,,,false,
COVELLO INTERNATIONAL,covellouruguay.com,custom,,true,200,true,false,40,,http://www.covellouruguay.com/propiedades,,,false,
DANIEL RODRÍGUEZ ADMINISTRACIONES,danielrodriguez.administracion.com.uy,custom,,true,200,false,false,0,,,,,false,
DANTE Y GUSTAVO IOCCO INMOBILIARIA,iocco.com.uy,custom,,true,200,true,false,7,,https://www.iocco.com.uy/propiedades https://www.iocco.com.uy/propiedades/,,,false,
DREAMPROP,dreamprop.net,custom,,true,403,false,false,0,,,,,false,
ENGEL & VÖLKERS PUNTA DEL ESTE,engelvoelkers.com,custom,,true,200,false,false,0,,,,https://www.engelvoelkers.com/sitemap.xml,false,
GRUPO GARDIOL NEGOCIOS INMOBILIARIOS,grupogardiol.com,custom,,true,403,false,false,0,,,,,false,
HOME2GO,home2go.com.uy,custom,,true,200,false,false,0,,,,,false,
JACQUELINE MOREIRA INMOBILIARIA,moreirainmobiliaria.com.uy,custom,,true,200,false,false,0,,,https://fonts.googleapis.com,https://www.moreirainmobiliaria.com.uy/sitemap.xml,false,
JUAN GOÑI NEGOCIOS INMOBILIARIOS,jgprop.com.ar,custom,,true,200,true,false,9,,https://www.jgprop.com.ar/Propiedades https://www.jgprop.com.ar/Venta https://www.jgprop.com.ar/Casas,,,false,
KELLER WILLIAMS ONE,kwuruguay.com,custom,,true,200,true,false,6,,https://kwuruguay.com/,,,false,
KOSAK INMOBILIARIA,kosak.com.uy,custom,,true,200,true,false,4,,https://www.kosak.com.uy/propiedades https://www.kosak.com.uy/propiedades/,,,false,
LAMAR INMOBILIARIA,lamar.com.uy,custom,,true,200,true,false,3,,http://www.lamar.com.uy/,,,false,
LIDER INMOBILIARIA,liderinmobiliaria.uy,custom,,true,200,true,false,4,,https://www.liderinmobiliaria.uy/,,,false,
LIJTMAER PROPIEDADES,lijtmaer.com,custom,,true,403,false,false,0,,,,,false,
LLORET DE MAR – GREEN PARK,greenpark.com,custom,,true,200,false,false,0,,,,https://greenparkgroup.ca/sitemap.xml,false,
MACARENA FERRANDO BIENES RAICES,ferrando.com.uy,custom,,true,200,false,false,0,,,,,false,
MAGDALENA GIURIA INMOBILIARIA,magdalenagiuria.com.uy,custom,,true,403,false,false,0,,,,,false,
MARIANA SAGASTI REAL ESTATE,msagasti.com,custom,,true,200,false,false,0,,,,https://msagasti.com/sitemap.xml,false,
MARINA RISSO INVERSIONES,marinarisso.com,custom,,true,403,false,false,0,,,,,false,
MIRANDA BOSCH URUGUAY,mirandabosch.com,custom,,true,200,true,false,22,,https://www.mirandabosch.com/residencial/departamentos-venta-recoleta-de-2-ambientes https://www.mirandabosch.com/residencial/departamentos-venta-recoleta-de-3-ambientes https://www.mirandabosch.com/residencial/departamentos-venta-recoleta-de-4-ambientes,,,false,
NANCY REGA – RAMÓN CASTIGLIA,nrc.com.uy,custom,,true,200,false,true,0,,,"https://fonts.googleapis.com/css?family=Raleway:400,200,100,300,500,600,700,800,900",,false,
ORGANIZACIÓN ACASSUSO PROPIEDADES,org-acassuso.com.ar,custom,,true,200,true,false,9,,https://www.org-acassuso.com.ar/Venta https://www.org-acassuso.com.ar/Alquiler https://www.org-acassuso.com.ar/Propiedades,,,false,
OTTO+OTTO NEGOCIOS INMOBILIARIOS,ottoinmobiliaria.com.uy,custom,,true,200,false,true,0,,,,,false,
PASSADORE OTERO ASESORES EN NEGOCIOS INMOBILIARIOS,passadore.uy,custom,,true,200,false,false,0,,,,,false,
PAULO ALVEZ SOLUCIONES INMOBILIARIAS,pauloalvez.com.uy,custom,,true,200,true,false,8,,https://www.pauloalvez.com.uy/propiedades/,,https://www.pauloalvez.com.uy/sitemap.xml,false,
PDE PROPIEDADES,pdepropiedades.com,custom,,true,200,false,false,0,,,,https://pdepropiedades.com/sitemap.xml,false,
PELUFO Y SCHIAVO ADMINISTRACIÓN DE PROPIEDADES,peluffoyschiavo.com.uy,custom,,true,200,false,false,0,,,,https://www.peluffoyschiavo.com.uy/sitemap.xml,false,
PEREIRA INMOBILIARIA,labarra.com,custom,,true,403,false,false,0,,,,,false,
PORTO NEGOCIOS INMOBILIARIOS,porto-inmobiliaria.com,custom,,true,200,false,false,0,,,,,false,
PUNTA REALTY S.R.L.,yoopuntadeleste.com,custom,,true,200,false,false,0,,,https://www.google.com/recaptcha/api.js?render=6Leas6oqAAAAANWDPBwwdfS5wsPUW28vaitPPrdc,,false,
PUNTAWEB SERVICIOS,puntaweb.com,custom,,true,200,true,false,27,,https://www.puntaweb.com/cgi-bin/propiedades/propiedad.pl?t=alquiler_Cruceros:_excepcional_apartamento_de_tres_suites_y_parrillero_propio_con_vista_al_mar_en_Pinares.&ficha=A1768&op=2&lg=e https://www.puntaweb.com/cgi-bin/propiedades/propiedad.pl?t=alquiler_Icon_Brava:_apartamento_de_tres_dormitorios_y_dos_banos_en_edificio_con_excelentes_amenidades_a_cien_metros_de_la_playa_Brava.&ficha=A1665&op=2&lg=e https://www.puntaweb.com/cgi-bin/propiedades/propiedad.pl?t=alquiler_Tiburon_3:_excepcional_apartamento_de_tres_suites_mas_dependencia_en_piso_alto_frente_a_playa_Brava.&ficha=A1773&op=2&lg=e,,https://www.puntaweb.com/sitemap.xml,false,
PUNTO INMOBILIARIO,puntoinmobiliario.com.uy,custom,,true,403,false,false,0,,,,,false,
SABÁS PEREIRA NEGOCIOS INMOBILIARIOS,samar.uy,custom,,true,200,false,false,0,,,,,false,
SARA CAFARDO PROPIEDADES,saracafardopropiedades.com,custom,,true,200,true,false,36,,https://www.saracafardopropiedades.com/Propiedades https://www.saracafardopropiedades.com/Venta https://www.saracafardopropiedades.com/Alquiler,,,false,
SORHUET & SAPELLI,sorsap.com.uy,custom,,true,200,true,false,18,,https://www.sorsap.com.uy/propiedades/Alquiler/U$S/Sin_precio_m%C3%ADnimo/Sin_precio_m%C3%A1ximo/Todos_los_tipos/Todas_las_zonas https://www.sorsap.com.uy/propiedades/Venta/U$S/Sin_precio_m%C3%ADnimo/Sin_precio_m%C3%A1ximo/Todos_los_tipos/Todas_las_zonas https://www.sorsap.com.uy/propiedad/142,,,false,
TERRAMAR SERVICIOS INMOBILIARIOS,terramar.com.uy,custom,,true,200,false,false,0,,,,,false,
TORIBIO ACHAVAL,toribioachaval.com.uy,custom,,true,403,false,false,0,,,,,false,
VISTA AZUL INMOBILIARIA,vistaazul.com.uy,custom,,true,200,true,false,7,,https://www.vistaazul.com.uy/Venta https://www.vistaazul.com.uy/Alquiler https://www.vistaazul.com.uy/Apartamentos,,,false,
WILL NEGOCIOS INMOBILIARIOS,will.com.uy,custom,,true,200,false,false,0,,,,,false,
WYNTER INMOBILIARIA,wynterinmobiliaria.com,custom,,true,200,false,true,0,,,,,false,
ADDRESS NEGOCIOS INMOBILIARIOS,addresspuntadeleste.com,tera,sierra,true,200,true,false,23,,http://www.addresspuntadeleste.com/ http://www.addresspuntadeleste.com/casas/en-alquiler/,,,false,
ADRIANA MARTINO PROPIEDADES,adrianamartino.com,tera,sierra,true,200,true,false,40,,https://www.adrianamartino.com/ https://www.adrianamartino.com/casas/en-venta/,,,false,
AGROPUNTA PROPIEDADES,agropuntapropiedades.com,tera,sierra,true,200,true,false,40,,https://www.agropuntapropiedades.com/ https://www.agropuntapropiedades.com/casas/en-venta/,,,false,
ALFA GROUP INMOBILIARIA,alfagroupuy.com,tera,sierra,true,200,true,false,19,,https://www.alfagroupuy.com/casas/en-alquiler/ https://www.alfagroupuy.com/casas/en-venta/,,,false,
AMAZONA NEGOCIOS INMOBILIARIOS,amazona.uy,tera,sierra,true,200,true,false,11,,https://www.amazona.uy/ https://www.amazona.uy/casas/en-alquiler/,,,false,
AQUIPUNTA INMOBILIARIA,aquipuntainmobiliaria.com,tera,sierra,true,200,true,false,23,,https://www.aquipuntainmobiliaria.com/ https://www.aquipuntainmobiliaria.com/casas/en-alquiler/,,,false,
ATELIER INMOBILIARIO,atelierinmobiliario.com.uy,tera,sierra,true,200,true,false,30,,http://www.atelierinmobiliario.com.uy/ http://www.atelierinmobiliario.com.uy/casas/en-alquiler/,,,false,
B&H PROPIEDADES,bhpropiedades.com.uy,tera,sierra,true,200,true,false,10,,https://www.bhpropiedades.com.uy/ https://www.bhpropiedades.com.uy/casas/en-alquiler/,,,false,
BINTANG PROPIEDADES,bintang.com.uy,tera,sierra,true,200,true,false,15,,http://www.bintang.com.uy http://www.bintang.com.uy/casas/en-alquiler/,,,false,
